Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
"2008,""14,99"",""702,95"",""430,77"",""119,13"",""404,50"",""231,74"",""636,24"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2009,""20,16"",""713,33"",""441,96"",""172,13"",""474,98"",""355,30"",""830,28"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2010,""21,31"",""690,32"",""486,34"",""194,84"",""415,96"",""403,16"",""819,12"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2011,""17,23"",""532,64"",""439,00"",""182,04"",""333,01"",""347,00"",""680,01"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2012,""10,32"",""490,35"",""345,83"",""196,14"",""400,62"",""261,27"",""661,89"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2013,""12,34"",""526,92"",""433,29"",""201,04"",""417,50"",""214,46"",""631,96"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2014,""12,14"",""605,08"",""469,35"",""256,46"",""502,11"",""302,61"",""804,72"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2015,""10,55"",""504,17"",""442,29"",""256,66"",""414,30"",""334,31"",""748,61"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2016,""9,71"",""584,08"",""461,99"",""219,20"",""373,24"",""250,80"",""624,04"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2017,""8,90"",""512,56"",""448,92"",""219,67"",""339,84"",""269,59"",""609,43"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
